,no,cv_no,region,temp_I,integ_I
210,cv_no210,"[271, 362, 303]",34,0.198,4.218
211,cv_no211,"[257, 368, 348]",34,0.539,8.699
212,cv_no212,"[390, 403, 226]",34,0.228,4.344
213,cv_no213,"[278, 364, 304]",34,0.211,3.7569999999999997
214,cv_no214,"[253, 398, 317]",34,0.198,5.83
215,cv_no215,"[128, 368, 347]",34,0.621,9.979000000000001
216,cv_no216,"[258, 341, 327]",34,0.143,2.8739999999999997
217,cv_no217,"[229, 396, 248]",34,0.271,5.728000000000001
218,cv_no218,"[33, 273, 254]",34,0.037,0.7760000000000002
219,cv_no219,"[282, 283, 46]",34,0.146,3.1940000000000004
220,cv_no220,"[248, 328, 290]",34,0.451,8.495000000000003
221,cv_no221,"[317, 391, 253]",34,0.434,10.857999999999999
222,cv_no222,"[37, 363, 313]",34,0.002,0.11300000000000003
223,cv_no223,"[239, 392, 28]",34,0.046,0.8990000000000001
224,cv_no224,"[260, 268, 238]",34,0.363,5.779
225,cv_no225,"[296, 337, 164]",34,0.392,7.3660000000000005
226,cv_no226,"[133, 331, 134]",34,1.121,18.398
227,cv_no227,"[17, 368, 128]",34,0.56,8.864
228,cv_no228,"[339, 358, 251]",34,0.157,6.223000000000001
229,cv_no229,"[366, 384, 256]",34,0.006,0.2260000000000001
230,cv_no230,"[51, 288, 286]",34,0.032,0.46099999999999997
231,cv_no231,"[155, 338, 156]",34,0.284,8.666
232,cv_no232,"[258, 327, 274]",34,0.216,4.181
233,cv_no233,"[242, 367, 227]",34,0.645,10.610000000000001
234,cv_no234,"[124, 325, 293]",34,0.417,6.726
235,cv_no235,"[276, 373, 233]",34,0.306,4.929
